Year_Index,Bike_Sales,Category
0,70,476420 Retail sale of bicycles and mopeds
1,73,476420 Retail sale of bicycles and mopeds
2,115,476420 Retail sale of bicycles and mopeds
3,125,476420 Retail sale of bicycles and mopeds
4,141,476420 Retail sale of bicycles and mopeds
5,120,476420 Retail sale of bicycles and mopeds
6,122,476420 Retail sale of bicycles and mopeds
7,124,476420 Retail sale of bicycles and mopeds
8,90,476420 Retail sale of bicycles and mopeds
9,71,476420 Retail sale of bicycles and mopeds
10,59,476420 Retail sale of bicycles and mopeds
11,62,476420 Retail sale of bicycles and mopeds
12,67,476420 Retail sale of bicycles and mopeds
13,67,476420 Retail sale of bicycles and mopeds
14,113,476420 Retail sale of bicycles and mopeds
15,130,476420 Retail sale of bicycles and mopeds
16,115,476420 Retail sale of bicycles and mopeds
17,112,476420 Retail sale of bicycles and mopeds
18,110,476420 Retail sale of bicycles and mopeds
19,125,476420 Retail sale of bicycles and mopeds
20,90,476420 Retail sale of bicycles and mopeds
21,72,476420 Retail sale of bicycles and mopeds
22,58,476420 Retail sale of bicycles and mopeds
23,60,476420 Retail sale of bicycles and mopeds
24,58,476420 Retail sale of bicycles and mopeds
25,65,476420 Retail sale of bicycles and mopeds
26,89,476420 Retail sale of bicycles and mopeds
27,112,476420 Retail sale of bicycles and mopeds
28,119,476420 Retail sale of bicycles and mopeds
29,114,476420 Retail sale of bicycles and mopeds
30,100,476420 Retail sale of bicycles and mopeds
31,109,476420 Retail sale of bicycles and mopeds
32,88,476420 Retail sale of bicycles and mopeds
33,66,476420 Retail sale of bicycles and mopeds
34,58,476420 Retail sale of bicycles and mopeds
35,57,476420 Retail sale of bicycles and mopeds
36,60,476420 Retail sale of bicycles and mopeds
37,55,476420 Retail sale of bicycles and mopeds
38,97,476420 Retail sale of bicycles and mopeds
39,98,476420 Retail sale of bicycles and mopeds
40,110,476420 Retail sale of bicycles and mopeds
41,102,476420 Retail sale of bicycles and mopeds
42,93,476420 Retail sale of bicycles and mopeds
43,103,476420 Retail sale of bicycles and mopeds
44,76,476420 Retail sale of bicycles and mopeds
45,63,476420 Retail sale of bicycles and mopeds
46,60,476420 Retail sale of bicycles and mopeds
47,55,476420 Retail sale of bicycles and mopeds
48,63,476420 Retail sale of bicycles and mopeds
49,55,476420 Retail sale of bicycles and mopeds
50,70,476420 Retail sale of bicycles and mopeds
51,106,476420 Retail sale of bicycles and mopeds
52,122,476420 Retail sale of bicycles and mopeds
53,114,476420 Retail sale of bicycles and mopeds
54,101,476420 Retail sale of bicycles and mopeds
55,114,476420 Retail sale of bicycles and mopeds
56,78,476420 Retail sale of bicycles and mopeds
57,68,476420 Retail sale of bicycles and mopeds
58,65,476420 Retail sale of bicycles and mopeds
59,56,476420 Retail sale of bicycles and mopeds
60,64,476420 Retail sale of bicycles and mopeds
61,64,476420 Retail sale of bicycles and mopeds
62,93,476420 Retail sale of bicycles and mopeds
63,114,476420 Retail sale of bicycles and mopeds
64,111,476420 Retail sale of bicycles and mopeds
65,101,476420 Retail sale of bicycles and mopeds
66,108,476420 Retail sale of bicycles and mopeds
67,108,476420 Retail sale of bicycles and mopeds
68,76,476420 Retail sale of bicycles and mopeds
69,68,476420 Retail sale of bicycles and mopeds
70,67,476420 Retail sale of bicycles and mopeds
71,56,476420 Retail sale of bicycles and mopeds
72,71,476420 Retail sale of bicycles and mopeds
73,68,476420 Retail sale of bicycles and mopeds
74,89,476420 Retail sale of bicycles and mopeds
75,131,476420 Retail sale of bicycles and mopeds
76,157,476420 Retail sale of bicycles and mopeds
77,145,476420 Retail sale of bicycles and mopeds
78,130,476420 Retail sale of bicycles and mopeds
79,128,476420 Retail sale of bicycles and mopeds
80,108,476420 Retail sale of bicycles and mopeds
81,101,476420 Retail sale of bicycles and mopeds
82,82,476420 Retail sale of bicycles and mopeds
83,78,476420 Retail sale of bicycles and mopeds
84,43,476420 Retail sale of bicycles and mopeds
85,50,476420 Retail sale of bicycles and mopeds
86,152,476420 Retail sale of bicycles and mopeds
87,131,476420 Retail sale of bicycles and mopeds
88,129,476420 Retail sale of bicycles and mopeds
89,130,476420 Retail sale of bicycles and mopeds
90,123,476420 Retail sale of bicycles and mopeds
91,118,476420 Retail sale of bicycles and mopeds
92,100,476420 Retail sale of bicycles and mopeds
93,80,476420 Retail sale of bicycles and mopeds
94,80,476420 Retail sale of bicycles and mopeds
95,66,476420 Retail sale of bicycles and mopeds
96,82,476420 Retail sale of bicycles and mopeds
97,72,476420 Retail sale of bicycles and mopeds
98,121,476420 Retail sale of bicycles and mopeds
99,109,476420 Retail sale of bicycles and mopeds
100,125,476420 Retail sale of bicycles and mopeds
101,120,476420 Retail sale of bicycles and mopeds
102,114,476420 Retail sale of bicycles and mopeds
103,137,476420 Retail sale of bicycles and mopeds
104,104,476420 Retail sale of bicycles and mopeds
105,81,476420 Retail sale of bicycles and mopeds
106,76,476420 Retail sale of bicycles and mopeds
107,60,476420 Retail sale of bicycles and mopeds
108,78,476420 Retail sale of bicycles and mopeds
109,77,476420 Retail sale of bicycles and mopeds
110,107,476420 Retail sale of bicycles and mopeds
111,113,476420 Retail sale of bicycles and mopeds
112,128,476420 Retail sale of bicycles and mopeds
113,139,476420 Retail sale of bicycles and mopeds
114,111,476420 Retail sale of bicycles and mopeds
115,125,476420 Retail sale of bicycles and mopeds
116,110,476420 Retail sale of bicycles and mopeds
117,88,476420 Retail sale of bicycles and mopeds
118,82,476420 Retail sale of bicycles and mopeds
119,67,476420 Retail sale of bicycles and mopeds
120,68,476420 Retail sale of bicycles and mopeds
121,81,476420 Retail sale of bicycles and mopeds
122,107,476420 Retail sale of bicycles and mopeds
123,120,476420 Retail sale of bicycles and mopeds
124,138,476420 Retail sale of bicycles and mopeds
125,116,476420 Retail sale of bicycles and mopeds
126,115,476420 Retail sale of bicycles and mopeds
127,130,476420 Retail sale of bicycles and mopeds
128,108,476420 Retail sale of bicycles and mopeds
129,85,476420 Retail sale of bicycles and mopeds
130,83,476420 Retail sale of bicycles and mopeds
131,70,476420 Retail sale of bicycles and mopeds
132,77,476420 Retail sale of bicycles and mopeds
